"Gebruiksfunctie","Perioden","Regio's","Beginstand voorraad (aantal)"
"Woning en niet-woning totaal","2012","Nederland",8425398
"Woning en niet-woning totaal","2013","Nederland",8518437
"Woning en niet-woning totaal","2014","Nederland",8628425
"Woning en niet-woning totaal","2015","Nederland",8707468
"Woning en niet-woning totaal","2016","Nederland",8773789
"Woning en niet-woning totaal","2017","Nederland",8808987
"Woning en niet-woning totaal","2018","Nederland",8869224
"Woning","2012","Nederland",7386743
"Woning","2013","Nederland",7449298
"Woning","2014","Nederland",7535315
"Woning","2015","Nederland",7587964
"Woning","2016","Nederland",7641323
"Woning","2017","Nederland",7686178
"Woning","2018","Nederland",7740984
